{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.126, 'neu': 0.874, 'pos': 0.0, 'compound': -0.5574}
{'neg': 0.09, 'neu': 0.799, 'pos': 0.111, 'compound': 0.0352}
{'neg': 0.248, 'neu': 0.655, 'pos': 0.097, 'compound': -0.5106}
{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}
{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.4767}
{'neg': 0.23, 'neu': 0.715, 'pos': 0.055, 'compound': -0.8528}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.137, 'neu': 0.72, 'pos': 0.144, 'compound': 0.0754}
{'neg': 0.297, 'neu': 0.572, 'pos': 0.131, 'compound': -0.4391}
{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3987}
{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.8225}
{'neg': 0.171, 'neu': 0.753, 'pos': 0.075, 'compound': -0.4466}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4215}
{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.7579}
{'neg': 0.15, 'neu': 0.593, 'pos': 0.257, 'compound': 0.4023}
{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.2732}
{'neg': 0.469, 'neu': 0.531, 'pos': 0.0, 'compound': -0.7943}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.765}
{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.4404}
{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.3291}
{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8538}
{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
{'neg': 0.263, 'neu': 0.737, 'pos': 0.0, 'compound': -0.6908}
{'neg': 0.054, 'neu': 0.946, 'pos': 0.0, 'compound': -0.1695}
